,Dni,Nom,Curso
0,R5715872G,Emma de Almagro,F
1,N5111030B,Carlos Ramírez Benavent,B
2,S1410175B,Lucas Frutos Andrés,F
3,J2387634E,Martí Antonio Nicolás Giner,F
4,P2199273J,Enzo de Osorio,B
5,Q9514578E,Anna Benítez Rovira,D
6,H13226295,Pau Rosado Palomar,C
7,S2330516B,Arnau David Armas Carreño,E
8,S9029257D,Francisco Vilanova Mármol,C
9,H60091485,Sofía Collado Botella,E
10,F9551675C,Ana Morante-Vazquez,D
11,U8112016D,Joan Villalobos Carnero,F
12,S5329165D,Hugo Sanz Amat,C
13,C29574233,Sílvia Ana Mármol Vázquez,A
14,B29905627,Pol Gómez Isern,D
15,U9160336E,Xavier Salcedo Villanueva,E
16,F8243580A,Montserrat Saez Sabater,C
17,Q4232915A,Antònia Colomer Blanca,B
18,W9833166C,Leo Èric Ibarra Castellanos,C
19,U0476516J,Isabel Miró Arana,D
20,F8773593B,David Sainz-Royo,F
21,H59430249,Júlia Aramburu Delgado,A
22,E20240735,Enzo de Garrido,C
23,J0110698H,Antonio Rocamora Aragón,E
24,S3945679C,Daniel Ródenas Lastra,A
25,B57625451,Antonia Campoy Alcalde,C
26,S1410175B,Lucas Frutos Andrés,D
27,G13084090,Lucas Ocaña Huertas,E
28,E50342690,Ana Anna Perea Bermúdez,E
29,S2330516B,Arnau David Armas Carreño,D
30,W4284402G,Mia Ona Tirado Herranz,C
31,N2759694I,María Dolores Júlia Montenegro Ramón,F
32,U5982724F,Jorge Manzano-Oliver,D
33,D57672396,Chlóe Tomas Santamaria,D
34,G44377703,Noa Mate Diego,C
35,U7558214H,Núria Alegre-Roma,E
36,R8192469H,Enzo Escalona Morales,F
37,W2486654C,Sofía Abril Caro Rocamora,D
38,U7611560I,Álex Navas Granados,C
39,P9348817I,Antonio Amo Castañeda,C
40,C94387792,Paula Rosa Perea,A
41,S0662896J,Álex Julián Cervantes,C
42,N6720616I,Cristina Coll Marín,A
43,F7093027F,Bruno Valderrama-Gutierrez,F
44,C33342999,Anna Avilés-Palomar,D
45,S8641797I,Aina Pi Trujillo,A
46,W9727961F,Albert Cerdán Chamorro,F
47,J0110698H,Antonio Rocamora Aragón,F
48,G26937243,Josefa Moll Piñeiro,F
49,W9727961F,Albert Cerdán Chamorro,C
50,E73982548,Júlia Palomino Company,D
51,C48788897,Clàudia Manzanares Angulo,B
52,N5426927I,Aleix Cervera Alfaro,C
53,G68200534,Martina Cano Pineda,F
54,R5336309I,Rosa Torralba Rozas,A
55,P6887458E,Nil del Morillo,F
56,W1247153H,Martina Nuñez Estevez,C
57,N9805030E,Laia Real Sanmartín,F
58,S7995912H,Josefa Laura Llorens Villanueva,F
59,H23653579,Manuel David Rosado Acero,D
60,Q7832857B,Valèria Sánchez,A
61,N5426927I,Aleix Cervera Alfaro,B
62,G90306762,Èric Blázquez Gil,B
63,J2410709F,Júlia Montenegro Muro,C
64,N2518597F,Noa de Grande,F
65,C78976982,Pau del Avilés,B
66,G26285767,Hugo del Núñez,F
67,S1898085D,Biel Vazquez Valverde,C
68,C87660817,María Dolores Romeu-Bastida,D
69,A71678262,Francisco Sanmartín,E
70,U3073814J,Jordi Carretero-Sáez,D
71,N6720616I,Cristina Coll Marín,A
72,G79531372,Laia Seguí,F
73,C75059956,Jorge Baena,C
74,F8773593B,David Sainz-Royo,B
75,B41571647,Mia Escudero Galan,A
76,B64747389,Èric Roman Mena,A
77,S8037889F,Arlet Torre Ponce,F
78,B22399109,Clàudia Valdés Jover,E
79,U4212659I,Xavier Vicente Meléndez,A
80,A28346542,Martina Fuentes-Moll,D
81,W4699949F,Mia Catalán Barros,F
82,P2473520A,Sílvia Carnero Bas,E
83,W8922173C,Álex Amo Alcalá,F
84,B11913498,Pedro Ricart Cantón,D
85,A94992674,Nil del Roselló,A
86,D51426096,Paula de Cantero,D
87,A09069840,Leo Abellán,F
88,B31484074,Jordi Cuenca Blanes,E
89,F1014977A,Pedro Murcia-Valbuena,B
90,D43493675,Èric Marin Comas,A
91,S3989833C,Aleix Jove Cantero,D
92,J8835130I,Carmen Salas Verdejo,A
93,C47311329,Sofía Guzman Villar,E
94,G56742331,Max Llano Bertrán,E
95,D86117876,Enzo Gimeno Carnero,A
96,A84080670,Joan de Olmedo,C
97,G99523896,Pau Ros Pallarès,A
98,P6345075C,Enzo Pera Arias,F
99,N8496367G,Ona de Torrens,F
100,F9589350I,Daniel Laguna,C
101,R5672939E,Cristina Laia Bonilla Alvarado,E
102,P2473520A,Sílvia Carnero Bas,F
103,Q3854328F,Lucia Sílvia Méndez Uría,E
104,U5487419C,Pol Nil Barbero Olivera,C
105,J3659481J,Clàudia Sancho Aragón,A
106,D14737068,Paula Villalba Alcázar,D
107,D05154323,Paula Tomás Bello,D
108,Q6050189G,María Ordóñez Llamas,D
109,G07621824,Sara Ángel Nieto,A
110,C06753156,Lucas Paniagua Llano,B
111,W9833166C,Leo Èric Ibarra Castellanos,B
112,N0515267C,Noa Ochoa Bartolomé,D
113,U7141532G,Pau Talavera Moliner,C
114,N3777084I,Pau Herranz Artigas,B
115,D94996444,Núria Miguel Huertas,C
116,J9446526G,Marta Águila Cervantes,C
117,Q0041000A,David Chaves Cantero,C
118,F4210663C,Dolores Trujillo Estévez,E
119,B55324438,Antònia Elorza Requena,F
120,A51927812,Lucas Jordi Rodriguez Lobo,F
121,C48788897,Clàudia Manzanares Angulo,D
122,N8243349A,Paula Sáez Ripoll,F
123,C87660817,María Dolores Romeu-Bastida,F
124,J5950441E,Chlóe del Villalba,B
125,D57672396,Chlóe Tomas Santamaria,F
126,C75059956,Jorge Baena,F
127,J6049614H,Júlia Sevillano Palomar,A
128,P6353735A,Rosa del Neira,F
